factor,ss_loadings,proportion,cumulative
F1,0.9999999999999973,0.09999999999999981,0.09999999999999981
F2,1.0,0.10000000000000007,0.1999999999999999
F3,1.0000000000000004,0.10000000000000012,0.30000000000000004
F4,0.9999999999999989,0.09999999999999996,0.4
F5,1.0000000000000004,0.10000000000000012,0.5000000000000001
F6,0.9999999999999991,0.09999999999999998,0.6000000000000001
F7,0.9999999999999996,0.10000000000000003,0.7000000000000002
F8,0.9999999999999999,0.10000000000000006,0.8000000000000003
F9,0.9999999999999993,0.1,0.9000000000000002
F10,0.9999999999999979,0.09999999999999987,1.0
