model,component,pve,pve_cum
PCA_28_means,1,0.18664294092970612,0.18664294092970612
PCA_28_means,2,0.08777473617264317,0.2744176771023493
PCA_28_means,3,0.08003509990128166,0.354452777003631
PCA_28_means,4,0.07630685383403357,0.43075963083766455
PCA_28_means,5,0.066287979342587,0.49704761018025156
PCA_28_means,6,0.05654289872231329,0.5535905089025649
PCA_28_means,7,0.04726057757102348,0.6008510864735883
PCA_28_means,8,0.04534351563300995,0.6461946021065983
PCA_28_means,9,0.04239282234505349,0.6885874244516518
PCA_28_means,10,0.04081336251024169,0.7294007869618935
PCA_28_means,11,0.04041480635206766,0.7698155933139611
PCA_28_means,12,0.038294001475920825,0.808109594789882
PCA_28_means,13,0.03700483598112889,0.8451144307710109
PCA_28_means,14,0.03533984325529948,0.8804542740263104
PCA_28_means,15,0.03358181664051795,0.9140360906668283
PCA_28_means,16,0.03241750261428196,0.9464535932811103
PCA_28_means,17,0.023475314217704962,0.9699289074988153
PCA_28_means,18,0.014380208100977733,0.9843091155997931
PCA_28_means,19,0.01332154870297082,0.9976306643027639
PCA_28_means,20,0.0018305472755257928,0.9994612115782897
PCA_112_full,1,0.14934385913920417,0.14934385913920417
PCA_112_full,2,0.07197890307020714,0.22132276220941133
PCA_112_full,3,0.06823111833952449,0.2895538805489358
PCA_112_full,4,0.06141544574689417,0.35096932629583
PCA_112_full,5,0.053944383705162934,0.4049137100009929
PCA_112_full,6,0.047322015030859345,0.4522357250318523
PCA_112_full,7,0.04597992773359514,0.49821565276544744
PCA_112_full,8,0.036286150333114345,0.5345018030985618
PCA_112_full,9,0.034376506611671125,0.5688783097102329
PCA_112_full,10,0.033249137041601345,0.6021274467518343
PCA_112_full,11,0.033129031100260206,0.6352564778520945
PCA_112_full,12,0.03064688264696745,0.665903360499062
PCA_112_full,13,0.029640178295348332,0.6955435387944103
PCA_112_full,14,0.028295699930780377,0.7238392387251907
PCA_112_full,15,0.02665439260047956,0.7504936313256703
PCA_112_full,16,0.02591385070861537,0.7764074820342857
PCA_112_full,17,0.02142314664224292,0.7978306286765285
PCA_112_full,18,0.02131766797838618,0.8191482966549147
PCA_112_full,19,0.018769380994287304,0.837917677649202
PCA_112_full,20,0.016034106118651317,0.8539517837678533
