component,pve,pve_cum
1,0.2146503637605438,0.2146503637605438
2,0.10989200968735097,0.32454237344789477
3,0.09053598387003982,0.4150783573179346
4,0.0834943170908612,0.49857267440879577
5,0.07103792580315843,0.5696106002119542
6,0.0534686211141613,0.6230792213261155
7,0.053176246050347646,0.6762554673764631
8,0.045753433567807845,0.722008900944271
9,0.04444997444077534,0.7664588753850463
10,0.04209011108120358,0.8085489864662498
11,0.0392488085763184,0.8477977950425682
12,0.03841629099025903,0.8862140860328273
13,0.03707132603811206,0.9232854120709393
14,0.03415351339620811,0.9574389254671474
15,0.0161414876131152,0.9735804130802626
16,0.014532858790496742,0.9881132718707593
17,0.009400584480024819,0.997513856350784
18,0.0019314347329752247,0.9994452910837592
19,0.000303635938819369,0.9997489270225786
20,0.00020861910481944246,0.999957546127398
21,4.135399692428778e-05,0.9999989001243222
22,1.0998756774770564e-06,0.9999999999999997
