space,k,silhouette
EFA_F1-10,2,0.17724583297957294
EFA_F1-10,3,0.16196052412569933
EFA_F1-10,4,0.11899869555210475
EFA_F1-10,5,0.11170565390258612
EFA_F1-10,6,0.1057188785191417
EFA_F1-10,7,0.12675609255528766
EFA_F1-10,8,0.10807566581235399
EFA_F1-10,9,0.10076404238002387
EFA_F1-10,10,0.1166722968737959
EFA_F1-10,11,0.11916540539698829
EFA_F1-10,12,0.11366449745138861
EFA_F1-5,2,0.24474815014513415
EFA_F1-5,3,0.28587883595126057
EFA_F1-5,4,0.2476259747151784
EFA_F1-5,5,0.24529714574799408
EFA_F1-5,6,0.23908533725330608
EFA_F1-5,7,0.23257032212541298
EFA_F1-5,8,0.19952302182200105
EFA_F1-5,9,0.23086544727965716
EFA_F1-5,10,0.22253503747717746
EFA_F1-5,11,0.2233148822737314
EFA_F1-5,12,0.22466623926414706
PCA_PC1-10,2,0.1402057719975984
PCA_PC1-10,3,0.1668125631523608
PCA_PC1-10,4,0.09987326288800669
PCA_PC1-10,5,0.12381871079971267
PCA_PC1-10,6,0.12486876959489178
PCA_PC1-10,7,0.12792529578721942
PCA_PC1-10,8,0.10311706101824415
PCA_PC1-10,9,0.11935473104685984
PCA_PC1-10,10,0.10643882037795188
PCA_PC1-10,11,0.1090126625130647
PCA_PC1-10,12,0.11720572279380115
PCA_PC1-5,2,0.2287487497407269
PCA_PC1-5,3,0.2776646443660762
PCA_PC1-5,4,0.19238654947453848
PCA_PC1-5,5,0.2264643069419474
PCA_PC1-5,6,0.21975111652898585
PCA_PC1-5,7,0.23232317867748206
PCA_PC1-5,8,0.2134058037882689
PCA_PC1-5,9,0.19534441002913364
PCA_PC1-5,10,0.2076646496066411
PCA_PC1-5,11,0.20419099875010308
PCA_PC1-5,12,0.2166068401563069
