factor,feature,loading,abs_loading
F1,mean_num_c012,0.5854499114021219,0.5854499114021219
F1,mean_num_c016,0.5701203923054597,0.5701203923054597
F1,mean_num_c017,0.5609659614238011,0.5609659614238011
F1,mean_num_c032,0.0864995552273013,0.0864995552273013
F1,mean_num_year,-0.0588088523594968,0.0588088523594968
F1,mean_num_c007,0.038027728320794,0.038027728320794
F2,mean_num_year,0.5432667107878248,0.5432667107878248
F2,mean_num_c008,0.5310705458645426,0.5310705458645426
F2,mean_num_c007,0.5310274342275075,0.5310274342275075
F2,mean_num_c015,-0.2983158060319008,0.2983158060319008
F2,mean_num_c048,-0.1890272778088642,0.1890272778088642
F2,mean_num_c032,-0.1016952908166642,0.1016952908166642
F3,mean_num_c009,0.6423349688346263,0.6423349688346263
F3,mean_num_c011,0.6377182739641436,0.6377182739641436
F3,mean_num_c031,0.2433335115862711,0.2433335115862711
F3,mean_num_c021,0.2111706808598531,0.2111706808598531
F3,mean_num_c032,0.1974044856889914,0.1974044856889914
F3,mean_num_c023,0.1194775085912805,0.1194775085912805
F4,mean_num_c018,0.6676998037856721,0.6676998037856721
F4,mean_num_c014,0.53719493767411,0.53719493767411
F4,mean_num_c013,0.5069979328793109,0.5069979328793109
F4,mean_num_year,-0.0765249605013948,0.0765249605013948
F4,mean_num_c008,0.0342240216539567,0.0342240216539567
F4,mean_num_c007,0.0341810319875898,0.0341810319875898
F5,mean_num_c019,0.658944215850061,0.658944215850061
F5,mean_num_c020,0.6584870493791085,0.6584870493791085
F5,mean_num_c032,-0.3001112322694653,0.3001112322694653
F5,mean_num_c031,-0.1254945211785947,0.1254945211785947
F5,mean_num_c028,-0.0936948067519749,0.0936948067519749
F5,mean_num_c021,-0.0897672196401995,0.0897672196401995
