month,n_rows
2020-01-01,3208
2020-02-01,6215
2020-03-01,10302
2020-04-01,16429
2020-05-01,22377
2020-06-01,28613
2020-07-01,35043
2020-08-01,42642
2020-09-01,48729
2020-10-01,55605
2020-11-01,63364
2020-12-01,69423
2021-01-01,75266
2021-02-01,80447
2021-03-01,87331
2021-04-01,93521
2021-05-01,98997
2021-06-01,103968
2021-07-01,107382
2021-08-01,112249
2021-09-01,116138
2021-10-01,119755
2021-11-01,123175
2021-12-01,127088
2022-01-01,130260
2022-02-01,132670
2022-03-01,135733
2022-04-01,137930
2022-05-01,139749
2022-06-01,141582
2022-07-01,142762
2022-08-01,143975
2022-09-01,145054
2022-10-01,145987
2022-11-01,146755
2022-12-01,147538
2023-01-01,148178
2023-02-01,148704
2023-03-01,149567
2023-04-01,150211
2023-05-01,151091
2023-06-01,151907
2023-07-01,152561
2023-08-01,153320
2023-09-01,154021
2023-10-01,154653
2023-11-01,155127
2023-12-01,155658
2024-01-01,156132
2024-02-01,156627
2024-03-01,157136
2024-04-01,157626
2024-05-01,158132
2024-06-01,158920
2024-07-01,159656
2024-08-01,160259
2024-09-01,160724
2024-10-01,161203
2024-11-01,161398
2024-12-01,161878
2025-01-01,162248
2025-02-01,162442
2025-03-01,162837
