feature,null_ratio,mean,std,p01,p99,base
mean_num_c007,0.0,3.812853019382974,1.4658466039130555,2.0335593490951998,7.628448876659509,c007
mean_num_c008,0.0,3.8126808258776523,1.4658228312507924,2.0105160938687545,7.626161699733461,c008
mean_num_c009,0.0,290517.2534495227,151786.61593475408,62418.33307667275,740987.4128361053,c009
mean_num_c011,0.0,270706.6762757592,145609.7772099447,53869.41014989667,709913.7136136729,c011
mean_num_c012,0.0,322.9633954350878,71.08802346734929,120.0,360.0,c012
mean_num_c013,0.0,66975.28647116561,34228.29719856759,12020.0,122022.51439519573,c013
mean_num_c014,0.0,67374.21401769239,34161.23409341796,12021.0,122022.87975991431,c014
mean_num_c015,0.0,17.663094829585418,8.637693742912079,0.49369166273954557,30.655879091721342,c015
mean_num_c016,0.0,305.4572645706143,72.7402444732952,101.20317582601234,359.6743892650877,c016
mean_num_c017,0.0,300.59625713635506,74.94236110116437,95.15528279082876,359.0680376419743,c017
mean_num_c018,0.0,66797.95772034262,34129.94029403101,12037.474382470598,122052.22492409074,c018
mean_num_c019,0.0,70.30190716527291,18.679986971060444,21.559209370601312,97.0,c019
mean_num_c020,0.0,70.57849135043081,18.724829371851552,21.702060134328587,97.34840511225552,c020
mean_num_c021,0.0,1.472211573456266,0.521003199097203,1.0,2.2379921863018812,c021
mean_num_c022,5.337862428727405e-05,34.47860858762326,9.876740366889083,11.596097760277296,50.0,c022
mean_num_c023,0.0005920174693679486,760.2179062125159,43.21310858998219,640.2016281002092,819.184981549747,c023
mean_num_c024,0.5389930850418537,765.7481475182148,41.58418665910086,643.9375617911052,819.8874349711566,c024
mean_num_c028,0.0,1.0219580249909013,0.19680424673104233,1.0,1.999313029754251,c028
mean_num_c031,0.0,27837.017535792183,13577.334498974456,0.0,48799.23090211709,c031
mean_num_c032,0.0,563.5732544678004,297.64544562339324,19.08737919348293,985.6394417698434,c032
mean_num_c033,0.7545456751182822,25.633549845686836,6.95974832942174,6.008536767685791,35.0,c033
mean_num_c039,0.0,0.03122022026668115,0.31290016204354637,0.0,0.7623928069254413,c039
mean_num_c048,0.004799223583646731,6812.739380453624,23632.38282594624,82.60287255565174,93048.27303650213,c048
mean_num_c072,0.7545456751182822,1.0129626984234354,0.12073737715725683,1.0,1.9461899061955867,c072
mean_num_c101,1.941040883173602e-05,7.0,0.0,7.0,7.0,c101
mean_num_c105,0.0,7.0,0.0,7.0,7.0,c105
mean_num_c108,0.0,7.0,0.0,7.0,7.0,c108
mean_num_year,0.0,2021.20485745481,1.2623099186701252,2020.0,2024.982722813622,
