column,type,min,max,approx_unique,regex_yyyymm,regex_zbc,score_period,score_dq,score_zbc,score_upb,score_rate
loan_id,VARCHAR,,,200971,0.0,0.0,0,0,0,0,0
period_raw,VARCHAR,,,64,1.0,0.0,6,0,0,0,0
period_date,TIMESTAMP,202001.0,202503.0,60,1.0,0.0,7,0,0,0,0
cat_c003,VARCHAR,,,3,0.0,0.0,0,0,0,0,0
cat_c025,VARCHAR,,,2,0.0,0.0,0,0,0,0,0
cat_c026,VARCHAR,,,3,0.0,0.0,0,0,0,0,0
cat_c027,VARCHAR,,,5,0.0,0.0,0,0,0,0,0
cat_c029,VARCHAR,,,3,0.0,0.0,0,0,0,0,0
cat_c030,VARCHAR,,,60,0.0,0.0,0,0,0,0,0
cat_c034,VARCHAR,,,1,0.0,0.0,0,0,0,0,0
cat_c035,VARCHAR,,,1,0.0,0.0,0,0,0,0,0
cat_c036,VARCHAR,,,1,0.0,0.0,0,0,0,0,0
cat_c041,VARCHAR,,,2,0.0,0.0,0,0,0,0,0
cat_c073,VARCHAR,,,2,0.0,0.0,0,0,0,0,0
cat_c078,VARCHAR,,,4,0.0,0.0,0,0,0,0,0
cat_c080,VARCHAR,,,2,0.0,0.0,0,0,0,0,0
cat_c085,VARCHAR,,,4,0.0,0.0,0,0,0,0,0
cat_c086,VARCHAR,,,2,0.0,0.0,0,0,0,0,0
cat_c102,VARCHAR,,,2,0.0,0.0,0,0,0,0,0
cat_quarter,VARCHAR,,,4,0.0,0.0,0,0,0,0,0
txt_c004,VARCHAR,,,47,0.0,0.0,0,0,0,0,0
txt_c005,VARCHAR,,,58,0.0,0.0,0,0,0,0,0
txt_c040,VARCHAR,,,82324,0.0,0.0,0,0,0,0,0
num_c007,DOUBLE,1.75,8.75,2036,0.0,0.0,0,0,0,0,5
num_c008,DOUBLE,1.75,8.75,2036,0.0,0.0,0,0,0,0,5
num_c009,DOUBLE,13000.0,1750000.0,1023,0.0,0.0,0,0,0,5,0
num_c011,DOUBLE,0.0,1749000.0,5202353,0.0,0.0,0,0,0,5,0
num_c012,DOUBLE,87.0,360.0,194,0.0,0.0,0,0,0,0,0
num_c013,DOUBLE,12020.0,122024.0,62,0.0,0.0,0,0,0,0,0
num_c014,DOUBLE,12020.0,122024.0,63,0.0,0.0,0,0,0,0,0
num_c015,DOUBLE,-1.0,70.0,89,0.0,0.0,0,0,0,0,0
num_c016,DOUBLE,37.0,482.0,420,0.0,0.0,0,0,0,0,0
num_c017,DOUBLE,0.0,360.0,378,0.0,0.0,0,0,0,0,0
num_c018,DOUBLE,12028.0,122064.0,410,0.0,0.0,0,0,0,0,0
num_c019,DOUBLE,3.0,97.0,130,0.0,0.0,0,0,0,0,0
num_c020,DOUBLE,3.0,112.0,145,0.0,0.0,0,0,0,0,0
num_c021,DOUBLE,1.0,5.0,5,0.0,0.0,0,0,0,0,5
num_c022,DOUBLE,1.0,64.0,76,0.0,0.0,0,0,0,0,0
num_c023,DOUBLE,544.0,836.0,235,0.0,0.0,0,0,0,0,0
num_c024,DOUBLE,529.0,835.0,241,0.0,0.0,0,0,0,0,0
num_c028,DOUBLE,1.0,4.0,4,0.0,0.0,0,0,0,0,5
num_c031,DOUBLE,0.0,49740.0,431,0.0,0.0,0,0,0,0,0
num_c032,DOUBLE,6.0,999.0,949,0.0,0.0,0,0,0,0,0
num_c033,DOUBLE,6.0,36.0,11,0.0,0.0,0,0,0,0,0
num_c039,DOUBLE,0.0,46.0,51,0.0,0.0,0,0,0,0,0
num_c048,DOUBLE,-335363.17,1512258.12,447001,0.0,0.0,0,0,0,5,0
num_c072,DOUBLE,1.0,3.0,3,0.0,0.0,0,0,0,0,5
num_c101,DOUBLE,7.0,7.0,1,0.0,0.0,0,0,0,0,5
num_c105,DOUBLE,7.0,7.0,1,0.0,0.0,0,0,0,0,5
num_c108,DOUBLE,7.0,7.0,1,0.0,0.0,0,0,0,0,5
num_year,DOUBLE,2020.0,2025.0,6,0.0,0.0,0,0,0,0,0
quarter,VARCHAR,,,4,0.0,0.0,0,0,0,0,0
year,BIGINT,2020.0,2025.0,6,0.0,0.0,0,0,0,0,0
